epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65513,2.26148,4.15063,2.00326,0.00288,0.18487,0.00352,0.00115,2.08387,4.29153,2.05339,5.716e-05,5.716e-05,5.716e-05
2,8.98474,2.05847,3.97048,1.92535,0.00241,0.14566,0.00607,0.0024,2.04959,4.11909,1.92023,0.000127018,0.000127018,0.000127018
3,13.3797,2.12815,3.81507,1.85335,0.00358,0.20971,0.009,0.00367,1.96139,4.04718,1.82835,0.000195109,0.000195109,0.000195109
4,17.2901,1.93427,3.62485,1.71737,0.00484,0.27535,0.01606,0.00844,1.97935,3.9365,1.76199,0.00026143,0.00026143,0.00026143
5,21.3932,1.90067,3.49153,1.69115,0.00487,0.27376,0.03385,0.02271,1.96634,3.94278,1.71723,0.000325983,0.000325983,0.000325983
6,25.5633,1.99235,3.49286,1.71,0.00515,0.27115,0.04076,0.02326,1.98278,3.92609,1.70958,0.000388768,0.000388768,0.000388768
7,29.5987,1.77518,3.18799,1.60734,0.00509,0.29599,0.03638,0.01909,1.93443,3.83065,1.62058,0.000449785,0.000449785,0.000449785
8,33.8281,1.97079,3.25144,1.73393,0.00555,0.3394,0.04971,0.0146,1.8864,3.79418,1.57124,0.000509033,0.000509033,0.000509033
9,37.9424,1.80001,3.10112,1.59633,0.00537,0.3394,0.04903,0.01144,1.87022,3.76848,1.56827,0.000566513,0.000566513,0.000566513
10,42.0504,1.81828,3.21841,1.64214,0.00585,0.38282,0.02513,0.00866,1.95707,3.68209,1.65705,0.000622224,0.000622224,0.000622224
11,45.9973,1.88236,3.02121,1.62951,0.00611,0.40401,0.03982,0.01476,1.98231,3.62153,1.70947,0.000676167,0.000676167,0.000676167
12,50.3486,1.82777,2.98482,1.58602,0.01758,0.23091,0.02971,0.01136,1.96215,3.56496,1.69543,0.000728342,0.000728342,0.000728342
13,54.4947,1.81066,2.94001,1.61492,0.42949,0.05324,0.06564,0.02568,2.02575,3.51256,1.72021,0.000778748,0.000778748,0.000778748
14,58.3412,1.76781,2.77267,1.597,0.42949,0.05324,0.06564,0.02568,2.02575,3.51256,1.72021,0.000827386,0.000827386,0.000827386
15,62.4485,1.76505,2.77873,1.55109,0.10015,0.04342,0.05298,0.02421,2.05318,3.46833,1.74615,0.000874255,0.000874255,0.000874255
16,66.4381,1.68104,2.84231,1.55356,0.44205,0.06303,0.07062,0.03004,2.09258,3.39536,1.80164,0.000919356,0.000919356,0.000919356
17,70.7647,1.58943,2.7103,1.49081,0.44819,0.10644,0.08936,0.0341,2.06652,3.31273,1.83164,0.000962689,0.000962689,0.000962689
18,74.8528,1.65693,2.7921,1.50001,0.44819,0.10644,0.08936,0.0341,2.06652,3.31273,1.83164,0.00100425,0.00100425,0.00100425
19,78.7843,1.54744,2.63338,1.43012,0.42687,0.10518,0.11566,0.03689,2.03566,3.3332,1.89264,0.00104405,0.00104405,0.00104405
20,82.9078,1.63411,2.49991,1.50036,0.06359,0.23249,0.10174,0.03407,2.00493,3.30638,1.89143,0.00108208,0.00108208,0.00108208
21,86.858,1.54959,2.53273,1.42198,0.06359,0.23249,0.10174,0.03407,2.00493,3.30638,1.89143,0.00107532,0.00107532,0.00107532
22,90.8583,1.60677,2.54548,1.46078,0.09474,0.25892,0.08098,0.02985,1.97778,3.55312,1.79793,0.00105764,0.00105764,0.00105764
23,95.0715,1.61754,2.62144,1.50423,0.06921,0.2197,0.08259,0.02855,1.99417,3.57534,1.79086,0.00103995,0.00103995,0.00103995
24,99.1231,1.67115,2.33494,1.50742,0.06921,0.2197,0.08259,0.02855,1.99417,3.57534,1.79086,0.00102227,0.00102227,0.00102227
25,102.964,1.48573,2.34714,1.432,0.07907,0.27852,0.0951,0.03877,2.05539,3.43166,1.81145,0.00100459,0.00100459,0.00100459
26,106.941,1.61215,2.7177,1.52586,0.07907,0.27852,0.0951,0.03877,2.05539,3.43166,1.81145,0.000986903,0.000986903,0.000986903
27,111.16,1.63178,2.41984,1.49418,0.11209,0.27955,0.10349,0.04402,2.1155,3.34128,1.81268,0.000969219,0.000969219,0.000969219
28,115.135,1.73324,2.3811,1.56564,0.16086,0.32138,0.09922,0.04031,2.1649,3.33525,1.84331,0.000951535,0.000951535,0.000951535
29,119.077,1.50619,2.26533,1.3514,0.16086,0.32138,0.09922,0.04031,2.1649,3.33525,1.84331,0.000933851,0.000933851,0.000933851
30,123.252,1.59525,2.2462,1.45807,0.21752,0.33094,0.12871,0.05721,2.13965,3.36636,1.837,0.000916168,0.000916168,0.000916168
31,127.023,1.42095,2.18806,1.40866,0.26656,0.27856,0.15496,0.07887,2.06637,3.46052,1.82007,0.000898484,0.000898484,0.000898484
32,131.224,1.48772,2.18535,1.45969,0.26656,0.27856,0.15496,0.07887,2.06637,3.46052,1.82007,0.0008808,0.0008808,0.0008808
33,135.16,1.56554,2.30149,1.43995,0.28386,0.25994,0.13506,0.06492,2.0043,3.68633,1.79743,0.000863116,0.000863116,0.000863116
34,139.238,1.55315,2.23125,1.49603,0.28386,0.25994,0.13506,0.06492,2.0043,3.68633,1.79743,0.000845432,0.000845432,0.000845432
35,143.398,1.5233,2.23129,1.41465,0.19412,0.27955,0.11341,0.05742,1.99644,3.72966,1.79894,0.000827748,0.000827748,0.000827748
36,147.217,1.48171,2.17293,1.40935,0.147,0.25154,0.1066,0.05254,2.02976,3.6312,1.85247,0.000810064,0.000810064,0.000810064
37,151.111,1.39669,2.03777,1.34297,0.147,0.25154,0.1066,0.05254,2.02976,3.6312,1.85247,0.00079238,0.00079238,0.00079238
38,155.141,1.49944,2.17613,1.46725,0.17266,0.27376,0.13268,0.05825,2.03741,3.4541,1.89061,0.000774697,0.000774697,0.000774697
39,158.974,1.43991,2.06234,1.35831,0.1174,0.24478,0.1215,0.04744,2.118,3.27876,1.93273,0.000757013,0.000757013,0.000757013
40,162.869,1.53509,2.11239,1.49822,0.1174,0.24478,0.1215,0.04744,2.118,3.27876,1.93273,0.000739329,0.000739329,0.000739329
41,166.85,1.49939,2.04151,1.4457,0.17551,0.25994,0.1211,0.04693,2.11475,3.19166,1.92092,0.000721645,0.000721645,0.000721645
